model,case_id,trace_id,base_is_correct,n_sentences,n_boundaries,vocabulary_size,converge_boundary_tvd,converge_token_frac_tvd,tvd_max_first,tvd_max_at_convergence,tvd_median_first
deepseek-r1-distill-qwen-1.5b,3544e050c3ae29b6422ea56dc506cd8d,6f472928b351e8ed88a421560162e88675a03d052b0c72d383a82a0a4f38b04c,False,15,16,47,15,1.0,0.9999999999999998,0.0,0.8848684210526315
deepseek-r1-distill-qwen-1.5b,40548af835e36bf1d06c74be11ea5d70,e2369a8ca08930662838b00f852448d7482c231ececdb07d532ce1be315a47ea,True,27,28,55,12,0.5549348230912476,0.7368421052631579,0.17631578947368423,0.7368421052631579
deepseek-r1-distill-qwen-1.5b,40548af835e36bf1d06c74be11ea5d70,cd4da146f3776bed01d57bdbf5c7cff0b2fab800c546bc473c378d2ba44d2f10,False,17,18,45,14,0.7674418604651163,1.0000000000000002,0.15789473684210528,0.9000000000000002
deepseek-r1-distill-qwen-1.5b,46f5a66a841fae109fc92ccdb9448abe,815d205a2d02ee837d647abff0a201fb5855c454eb76603e6a9b722c82e35f1d,True,12,13,24,10,0.7846715328467153,1.0,0.16052631578947368,0.8973684210526315
deepseek-r1-distill-qwen-1.5b,46f5a66a841fae109fc92ccdb9448abe,8bb7522de9e2bf7d116b11d5de0e81e78dcd2805d4e0c9db945ff0e324a9b74e,False,17,18,20,17,1.0,1.0,0.0,0.3
deepseek-r1-distill-qwen-1.5b,47601c56544121804558b55dbddc694b,fad55dffbf12a10c82a5564e06481aa8732c5df831b30d053d74347af7a36235,True,15,16,84,14,0.9758064516129032,0.9999999999999998,0.09999999999999998,0.9499999999999998
deepseek-r1-distill-qwen-1.5b,47601c56544121804558b55dbddc694b,e1b06e27e5a263c29c4f9e5a546a42f2e343ae107c5767fac089a55bbdd94eff,False,18,19,101,16,0.9345238095238095,0.9500000000000002,0.1,0.8250000000000003
deepseek-r1-distill-qwen-1.5b,48d8738209cbe3d0f3490417e6c37914,6e62df769f83996a8943dd5c9dbcd027c90df26e0051eae37671d209a6492707,True,14,15,83,12,0.8547486033519553,0.9473684210526315,0.1,0.8157894736842104
deepseek-r1-distill-qwen-1.5b,48d8738209cbe3d0f3490417e6c37914,27ac2f9e76f54c7129c4aea14b3fc0f92ed64410ed11ebe8b10738530524b2ad,False,14,15,88,10,0.6715542521994134,1.0000000000000002,0.052631578947368446,0.8192724458204336
deepseek-r1-distill-qwen-1.5b,4d6344707f7581b02e4f545c4d51d472,106e93cdd451ac26a419f7af4a05ac155b83d659fad41949a0d0f817c4dfbbf4,True,13,14,21,13,1.0,0.4,0.0,0.2368421052631579
deepseek-r1-distill-qwen-1.5b,4d6344707f7581b02e4f545c4d51d472,9471abe262c6dcfd8ef78fa75b5cf8ca47ed795a3e890211f730efe273378eeb,False,11,12,20,7,0.6159420289855072,0.6000000000000001,0.15000000000000002,0.30000000000000004
deepseek-r1-distill-qwen-1.5b,5355d6e5738c1e76aa8f1441131c9295,653b3b14990f8c972536c22eeab1cfc8e1fac63c44a9c3a0514f4182f5853d74,True,18,19,84,14,0.7462039045553145,1.0000000000000002,0.0,0.7750000000000004
