model,case_id,trace_id,base_is_correct,converge_token_frac_tvd,drop_fraction,width,width_of_descent
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.1,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.15,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.2,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.25,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.3,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.35,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.4,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.45,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.5,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.55,0.051724137931034475,0.08287292817679556
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.6,0.12068965517241381,0.1933701657458564
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.65,0.12068965517241381,0.1933701657458564
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.7,0.12068965517241381,0.1933701657458564
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.75,0.12068965517241381,0.1933701657458564
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.8,0.45862068965517244,0.7348066298342542
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.85,0.45862068965517244,0.7348066298342542
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.9,0.45862068965517244,0.7348066298342542
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,0.95,0.45862068965517244,0.7348066298342542
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,0.6241379310344828,1.0,0.45862068965517244,0.7348066298342542
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.05,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.1,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.15,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.2,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.25,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.3,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.35,0.09731543624161076,0.23200000000000007
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,0.41946308724832215,0.4,0.09731543624161076,0.23200000000000007
